"id","est_dis","upm","factor","ictpc"
"010041520115","3","45",196,4598.36096797401
"010041520116","3","45",196,4598.36096797401
"010041520117","3","45",196,4598.36096797401
"010041520118","3","45",196,4598.36096797401
"010041520211","3","45",196,7133.59704110675
"010041520212","3","45",196,7133.59704110675
"010041520311","3","45",196,6753.20628869917
"010041520312","3","45",196,6753.20628869917
"010041520313","3","45",196,6753.20628869917
"010041520411","3","45",196,4909.93142033289
"010041520412","3","45",196,4909.93142033289
"010041520511","3","45",196,5523.60815403092
"010041520512","3","45",196,5523.60815403092
"010041520513","3","45",196,5523.60815403092
"010041520514","3","45",196,5523.60815403092
"010041740211","3","46",233,15108.0611902085
"010041740212","3","46",233,15108.0611902085
"010041740213","3","46",233,15108.0611902085
"010041740214","3","46",233,15108.0611902085
"010041740411","3","46",233,18411.7348100836
"010041740412","3","46",233,18411.7348100836
"010041740413","3","46",233,18411.7348100836
"010041740414","3","46",233,18411.7348100836
"010041740511","3","46",233,5663.65171622283
"010041740512","3","46",233,5663.65171622283
"010041740513","3","46",233,5663.65171622283
"010041740514","3","46",233,5663.65171622283
"010041740515","3","46",233,5663.65171622283
"010041740611","3","46",233,34338.4665903249
"010041740612","3","46",233,34338.4665903249
"010041740613","3","46",233,34338.4665903249
"010041740614","3","46",233,34338.4665903249
"010042040111","2","47",177,14773.8887953479
"010042040112","2","47",177,14773.8887953479
"010042040113","2","47",177,14773.8887953479
"010042040211","2","47",177,5598.48513156598
"010042040212","2","47",177,5598.48513156598
"010042040213","2","47",177,5598.48513156598
"010042040214","2","47",177,5598.48513156598
"010042040215","2","47",177,5598.48513156598
"010042040216","2","47",177,5598.48513156598
"010042040217","2","47",177,5598.48513156598
"010042040218","2","47",177,5598.48513156598
"010042040219","2","47",177,5598.48513156598
"010042040311","2","47",177,11102.7935200913
"010042040312","2","47",177,11102.7935200913
"010042040313","2","47",177,11102.7935200913
"010042040314","2","47",177,11102.7935200913
"010042040411","2","47",177,10010.1373521997
"010042040412","2","47",177,10010.1373521997
"010042040413","2","47",177,10010.1373521997
"010042040611","2","47",177,4113.03751406204
"010042040612","2","47",177,4113.03751406204
"010042040613","2","47",177,4113.03751406204
"010042040614","2","47",177,4113.03751406204
"010042040615","2","47",177,4113.03751406204
"010042040616","2","47",177,4113.03751406204
"010042040617","2","47",177,4113.03751406204
"010042560111","2","48",184,31582.8449574456
"010042560112","2","48",184,31582.8449574456
"010042560113","2","48",184,31582.8449574456
"010042560211","2","48",184,12500.1385318418
"010042560212","2","48",184,12500.1385318418
"010042560213","2","48",184,12500.1385318418
"010042560214","2","48",184,12500.1385318418
"010042560311","2","48",184,10166.1958456508
"010042560312","2","48",184,10166.1958456508
"010042560313","2","48",184,10166.1958456508
"010042560411","2","48",184,6985.89931790459
"010042560412","2","48",184,6985.89931790459
"010042560511","2","48",184,11510.0825300017
"010042560512","2","48",184,11510.0825300017
"010042560513","2","48",184,11510.0825300017
"010042560514","2","48",184,11510.0825300017
"010042980111","2","49",182,1979.92086505958
"010042980112","2","49",182,1979.92086505958
"010042980113","2","49",182,1979.92086505958
"010042980114","2","49",182,1979.92086505958
"010042980115","2","49",182,1979.92086505958
"010042980116","2","49",182,1979.92086505958
"010042980117","2","49",182,1979.92086505958
"010042980118","2","49",182,1979.92086505958
"010042980119","2","49",182,1979.92086505958
"010042980311","2","49",182,14898.0902593701
"010042980312","2","49",182,14898.0902593701
"010042980313","2","49",182,14898.0902593701
"010042980314","2","49",182,14898.0902593701
"010042980411","2","49",182,3309.58077764694
"010042980412","2","49",182,3309.58077764694
"010042980413","2","49",182,3309.58077764694
"010042980511","2","49",182,9548.58609515849
"010042980512","2","49",182,9548.58609515849
"010042980513","2","49",182,9548.58609515849
"010042980611","2","49",182,2593.79655878459
"010042980612","2","49",182,2593.79655878459
"010042980613","2","49",182,2593.79655878459
"010043100111","2","50",198,3343.6403747815
"010043100112","2","50",198,3343.6403747815
"010043100113","2","50",198,3343.6403747815
"010043100114","2","50",198,3343.6403747815
"010043100115","2","50",198,3343.6403747815
"010043100116","2","50",198,3343.6403747815
"010043100117","2","50",198,3343.6403747815
"010043100118","2","50",198,3343.6403747815
"010043100211","2","50",198,2854.03926089317
"010043100212","2","50",198,2854.03926089317
"010043100213","2","50",198,2854.03926089317
"010043100311","2","50",198,1483.67244611572
"010043100312","2","50",198,1483.67244611572
"010043100313","2","50",198,1483.67244611572
"010043100411","2","50",198,1778.43905200617
"010043100412","2","50",198,1778.43905200617
